x,y,u,v,p
0.0,0.0,0.0,0.0,4.29931e-06
0.005,0.0,0.0,0.0,-0.0029091353
0.01,0.0,0.0,0.0,-0.009391435
0.015,0.0,0.0,0.0,-0.01568645
0.02,0.0,0.0,0.0,-0.01942135
0.025,0.0,0.0,0.0,-0.0193333
0.03,0.0,0.0,0.0,-0.01500425
0.035,0.0,0.0,0.0,-0.006626935
0.04,0.0,0.0,0.0,0.005178615
0.045,0.0,0.0,0.0,0.01949495
0.05,0.0,0.0,0.0,0.0351984
0.055,0.0,0.0,0.0,0.0510353
0.06,0.0,0.0,0.0,0.0657024
0.065,0.0,0.0,0.0,0.07794515
0.07,0.0,0.0,0.0,0.08668225
0.075,0.0,0.0,0.0,0.0911615
0.08,0.0,0.0,0.0,0.09114805
0.085,0.0,0.0,0.0,0.08713655
0.09,0.0,0.0,0.0,0.08056405
0.095,0.0,0.0,0.0,0.07397575
0.1,0.0,0.0,0.0,0.071069
0.0,0.005,0.0,0.0,0.0028937845
0.005,0.005,-0.000323631,0.0003341185,-6.269692e-05
0.01,0.005,-0.002085186,0.0014846118,-0.0062000793
0.015,0.005,-0.0055177924,0.0025255657,-0.011678738
0.02,0.005,-0.010118045,0.0031773674,-0.014744998
0.025,0.005,-0.01528594,0.0034029225,-0.014423568
0.03,0.005,-0.020436864,0.003238063,-0.010351835
0.035,0.005,-0.02504755,0.0027457834,-0.002686505
0.04,0.005,-0.02868815,0.0019989267,0.008034438
0.045,0.005,-0.03103675,0.0010735007,0.021001974
0.05,0.005,-0.031886324,4.824025e-05,0.0352154
0.055,0.005,-0.031151526,-0.0009935575,0.0495524
0.06,0.005,-0.0288763,-0.0019625092,0.062845126
0.065,0.005,-0.025241375,-0.0027635398,0.0739725
0.07,0.005,-0.02056817,-0.0032994938,0.08197452
0.075,0.005,-0.015313265,-0.0034793725,0.08619065
0.08,0.005,-0.010044818,-0.0032331317,0.0864232
0.085,0.005,-0.0053920676,-0.0025348205,0.083102226
0.09,0.005,-0.0019741987,-0.0014489054,0.0773652
0.095,0.005,-0.00026785434,-0.0002899237,0.071136825
0.1,0.005,0.0,0.0,0.0681944
0.0,0.01,0.0,0.0,0.009560385
0.005,0.01,-0.0014823582,0.002075959,0.0059852335
0.01,0.01,-0.005401565,0.0053060376,-0.00049365574
0.015,0.01,-0.011998912,0.008071555,-0.0051890514
0.02,0.01,-0.0203433,0.009783625,-0.0074573224
0.025,0.01,-0.029472075,0.010322813,-0.00689018
0.03,0.01,-0.038455725,0.009757242,-0.003264205
0.035,0.01,-0.046443325,0.008244568,0.0032853074
0.04,0.01,-0.0527249,0.0059849727,0.012328375
0.045,0.01,-0.0567649,0.003199043,0.02321815
0.05,0.01,-0.05821915,0.00012147625,0.0351457
0.055,0.01,-0.056948,-0.0029983218,0.04719435
0.06,0.01,-0.05302855,-0.0058955424,0.0584043
0.065,0.01,-0.046764426,-0.008294097,0.067852
0.07,0.01,-0.038688026,-0.009919727,0.074745126
0.075,0.01,-0.0295467,-0.01052582,0.07853208
0.08,0.01,-0.0202574,-0.00993595,0.07903002
0.085,0.01,-0.011818903,-0.008105275,0.07651678
0.09,0.01,-0.005229925,-0.00521993,0.07155698
0.095,0.01,-0.0013903346,-0.0019579954,0.06498515
0.1,0.01,0.0,0.0,0.0614286
0.0,0.015,0.0,0.0,0.01673955
0.005,0.015,-0.0027151234,0.005632475,0.01180329
0.01,0.015,-0.008824037,0.012026562,0.003492226
0.015,0.015,-0.018451124,0.017189026,-0.001713169
0.02,0.015,-0.030166825,0.020288525,-0.00401967
0.025,0.015,-0.04269095,0.0211313,-0.003534185
0.03,0.015,-0.0548473,0.01983655,-0.000202125
0.035,0.015,-0.06556525,0.016694775,0.0057881423
0.04,0.015,-0.0739523,0.01208768,0.014025298
0.045,0.015,-0.07933558,0.0064457427,0.023933325
0.05,0.015,-0.08128227,0.000232285,0.034802075
0.055,0.015,-0.07961535,-0.0060596475,0.045821924
0.06,0.015,-0.0744282,-0.011909245,0.05613295
0.065,0.015,-0.066096775,-0.016778374,0.06489015
0.07,0.015,-0.0552832,-0.0201385,0.0713424
0.075,0.015,-0.042921625,-0.02152105,0.07492425
0.08,0.015,-0.0301656,-0.020596575,0.0753736
0.085,0.015,-0.0182869,-0.017282125,0.07278925
0.09,0.015,-0.008628225,-0.01188802,0.06723952
0.095,0.015,-0.0025981555,-0.005413398,0.05876355
0.1,0.015,0.0,0.0,0.05382095
0.0,0.02,0.0,0.0,0.02232285
0.005,0.02,-0.0038589388,0.010883703,0.015779752
0.01,0.02,-0.01208436,0.021402976,0.005073284
0.015,0.02,-0.02464125,0.02943515,-0.0012078837
0.02,0.02,-0.039547823,0.03404925,-0.003917955
0.025,0.02,-0.0551954,0.035056625,-0.00360236
0.03,0.02,-0.07019313,0.032681275,-0.0003698825
0.035,0.02,-0.0833062,0.027390076,0.005507965
0.04,0.02,-0.09352005,0.019786125,0.013592003
0.045,0.02,-0.10007575,0.010548462,0.02332325
0.05,0.02,-0.1024841,0.0004074825,0.0340319
0.055,0.02,-0.1005381,-0.00986073,0.044951875
0.06,0.02,-0.0943291,-0.019437624,0.055253126
0.065,0.02,-0.0842628,-0.027477525,0.06409243
0.07,0.02,-0.0710713,-0.0331476,0.0706794
0.075,0.02,-0.055811,-0.035703074,0.07435898
0.08,0.02,-0.039819,-0.034603827,0.07473533
0.085,0.02,-0.02461895,-0.029666824,0.07172205
0.09,0.02,-0.011926793,-0.021251775,0.06497052
0.095,0.02,-0.0037354403,-0.01056088,0.053944025
0.1,0.02,0.0,0.0,0.04732185
0.0,0.025,0.0,0.0,0.024842
0.005,0.025,-0.0049354276,0.017731486,0.016652824
0.01,0.025,-0.015217942,0.033324573,0.0034298012
0.015,0.025,-0.0306397,0.04466195,-0.0040620263
0.02,0.025,-0.04863735,0.0508536,-0.007212595
0.025,0.025,-0.06725695,0.051828325,-0.0069534676
0.03,0.025,-0.08490465,0.0479977,-0.0035454975
0.035,0.025,-0.1002158,0.040063426,0.0026472176
0.04,0.025,-0.11209677,0.028889826,0.01113649
0.045,0.025,-0.1197405,0.015430935,0.0213525
0.05,0.025,-0.12262525,0.0007022825,0.032633375
0.055,0.025,-0.12051775,-0.014221977,0.044219676
0.06,0.025,-0.11348762,-0.028207675,0.05526925
0.065,0.025,-0.101931,-0.040074576,0.06489302
0.07,0.025,-0.086599074,-0.04864365,0.07220905
0.075,0.025,-0.06862115,-0.05283295,0.07642065
0.08,0.025,-0.049486425,-0.0518101,0.0769574
0.085,0.025,-0.0309722,-0.0451916,0.07353465
0.09,0.025,-0.01521015,-0.033272825,0.06542395
0.095,0.025,-0.004841815,-0.01734452,0.051625
0.1,0.025,0.0,0.0,0.04321565
0.0,0.03,0.0,0.0,0.0231377
0.005,0.03,-0.00599697,0.026136724,0.0132918
0.01,0.03,-0.018325532,0.047760874,-0.002460137
0.015,0.03,-0.036587127,0.06283222,-0.011123672
0.02,0.03,-0.0576086,0.07063215,-0.014575035
0.025,0.03,-0.07907808,0.07133815,-0.014111905
0.03,0.03,-0.09921235,0.06565515,-0.010145295
0.035,0.03,-0.1165505,0.054593377,-0.003139495
0.04,0.03,-0.129962,0.039321575,0.0063551525
0.045,0.03,-0.13863026,0.02108734,0.017741457
0.05,0.03,-0.142025,0.0011934275,0.030346375
0.055,0.03,-0.13988975,-0.018993137,0.0433945
0.06,0.03,-0.1322515,-0.038024474,0.056003723
0.065,0.03,-0.11945575,-0.054373,0.06720395
0.07,0.03,-0.102218576,-0.0664751,0.075978026
0.075,0.03,-0.08168755,-0.07283935,0.0813375
0.08,0.03,-0.0594677,-0.0722327,0.082488276
0.085,0.03,-0.0375883,-0.06393435,0.0789119
0.09,0.03,-0.018640725,-0.048031475,0.069487
0.095,0.03,-0.0059941374,-0.025795275,0.052782375
0.1,0.03,0.0,0.0,0.04248295
0.0,0.035,0.0,0.0,0.0161202
0.005,0.035,-0.0070967777,0.03611325,0.0045910007
0.01,0.035,-0.021512425,0.06472055,-0.013670425
0.015,0.035,-0.042616274,0.08391645,-0.02334115
0.02,0.035,-0.06658147,0.09329548,-0.0267971
0.025,0.035,-0.09073143,0.09344043,-0.02572405
0.03,0.035,-0.11312202,0.08547933,-0.02069855
0.035,0.035,-0.1322455,0.0708187,-0.012296995
0.04,0.035,-0.14699025,0.05097655,-0.0011404474
0.045,0.035,-0.1565805,0.02750275,0.012140698
0.05,0.035,-0.16050924,0.001970825,0.026857374
0.055,0.035,-0.1585035,-0.0239878,0.04221185
0.06,0.035,-0.15052775,-0.0486372,0.057270225
0.065,0.035,-0.136829,-0.07010895,0.07095955
0.07,0.035,-0.118019626,-0.0864253,0.0820913
0.075,0.035,-0.095190026,-0.0956052,0.08943237
0.08,0.035,-0.06999843,-0.095879726,0.09189948
0.085,0.035,-0.044701874,-0.08601105,0.088670425
0.09,0.035,-0.022391075,-0.065688424,0.07815193
0.095,0.035,-0.0072741,-0.03603065,0.058428276
0.1,0.035,0.0,0.0,0.0460962
0.0,0.04,0.0,0.0,0.002589935
0.005,0.04,-0.008286285,0.047726274,-0.010675132
0.01,0.04,-0.024874926,0.08424678,-0.0314053
0.015,0.04,-0.048823927,0.10786965,-0.041784827
0.02,0.04,-0.0755832,0.11868575,-0.04477195
0.025,0.04,-0.1021146,0.117883,-0.042514224
0.03,0.04,-0.12636726,0.10717355,-0.035792377
0.035,0.04,-0.14686625,0.0884623,-0.025314
0.04,0.04,-0.162602,0.06365958,-0.011775527
0.045,0.04,-0.172909,0.034612127,0.0041657323
0.05,0.04,-0.177351,0.0031243,0.021817084
0.055,0.04,-0.1756555,-0.028965876,0.0403721
0.06,0.04,-0.16770625,-0.059691627,0.05885395
0.065,0.04,-0.1535955,-0.08687913,0.0760833
0.07,0.04,-0.1337425,-0.10812587,0.09067525
0.075,0.04,-0.10906977,-0.120883,0.101096876
0.08,0.04,-0.0811811,-0.1226845,0.10589003
0.085,0.04,-0.0524943,-0.11154,0.1038143
0.09,0.04,-0.0266225,-0.08647555,0.09264165
0.095,0.04,-0.008763795,-0.04825415,0.0698167
0.1,0.04,0.0,0.0,0.0552661
0.0,0.045,0.0,0.0,-0.018909965
0.005,0.045,-0.009623403,0.061089426,-0.033989534
0.01,0.045,-0.02850755,0.10640015,-0.057105176
0.015,0.045,-0.055265274,0.13458826,-0.06770845
0.02,0.045,-0.08452313,0.14650676,-0.06951425
0.025,0.045,-0.112904824,0.1442195,-0.0652735
0.03,0.045,-0.1383505,0.1302255,-0.0560395
0.035,0.045,-0.15954074,0.10704373,-0.042678725
0.04,0.045,-0.17568725,0.07701325,-0.025962293
0.045,0.045,-0.186333,0.042251,-0.00655334
0.05,0.045,-0.19118024,0.004721975,0.014885377
0.055,0.045,-0.189988,-0.0336236,0.0375774
0.06,0.045,-0.18254624,-0.07068645,0.060538974
0.065,0.045,-0.16873175,-0.10406485,0.08250705
0.07,0.045,-0.14865924,-0.1309575,0.10189475
0.075,0.045,-0.12292825,-0.148186,0.11681975
0.08,0.045,-0.09291518,-0.152407,0.12534375
0.085,0.045,-0.061059725,-0.14057325,0.1256395
0.09,0.045,-0.03148,-0.110664,0.11457332
0.095,0.045,-0.01055127,-0.062749,0.0886572
0.1,0.045,0.0,0.0,0.07167475
0.0,0.05,0.0,0.0,-0.05025995
0.005,0.05,-0.011190972,0.0763689,-0.0672487
0.01,0.05,-0.032524925,0.13123302,-0.09255788
0.015,0.05,-0.0619575,0.163841,-0.10258737
0.02,0.05,-0.0931639,0.1762205,-0.10213093
0.025,0.05,-0.12249775,0.1716895,-0.0947827
0.03,0.05,-0.14805625,0.15378825,-0.081973575
0.035,0.05,-0.16885875,0.125774,-0.064762875
0.04,0.05,-0.1845005,0.09043297,-0.0439852
0.045,0.05,-0.1948605,0.050094824,-0.020267783
0.05,0.05,-0.1998675,0.006777875,0.0058171176
0.055,0.05,-0.19935875,-0.03759295,0.0335937
0.06,0.05,-0.19303074,-0.08093408,0.06214365
0.065,0.05,-0.1804885,-0.1207506,0.09018155
0.07,0.05,-0.161416,-0.1539275,0.1159486
0.075,0.05,-0.1358895,-0.17663875,0.137185
0.08,0.05,-0.104802,-0.1844855,0.151359
0.085,0.05,-0.07036477,-0.1729835,0.15583
0.09,0.05,-0.0370944,-0.13850924,0.1461415
0.095,0.05,-0.0127444,-0.07987192,0.11736873
0.1,0.05,0.0,0.0,0.09775445
0.0,0.055,0.0,0.0,-0.0940325
0.005,0.055,-0.01312747,0.0938037,-0.113005
0.01,0.055,-0.0370924,0.1587565,-0.14005224
0.015,0.055,-0.06887275,0.1951685,-0.148149
0.02,0.055,-0.101059,0.20690425,-0.14375
0.025,0.055,-0.12989876,0.199066,-0.131677
0.03,0.055,-0.15391774,0.1765415,-0.11388045
0.035,0.055,-0.17273225,0.143441,-0.0916423
0.04,0.055,-0.18652625,0.10297855,-0.06582668
0.045,0.055,-0.195662,0.05759465,-0.0369518
0.05,0.055,-0.20039475,0.0092102,-0.0054034875
0.055,0.055,-0.20070025,-0.0404567,0.028353937
0.06,0.055,-0.19620225,-0.08953955,0.0635869
0.065,0.055,-0.18619876,-0.135654,0.09910445
0.07,0.055,-0.16982475,-0.17554075,0.13306674
0.075,0.055,-0.1464035,-0.2047955,0.16286024
0.08,0.055,-0.11599627,-0.217832,0.18526874
0.085,0.055,-0.08017662,-0.2082895,0.1965645
0.09,0.055,-0.04358095,-0.1701615,0.19035874
0.095,0.055,-0.01549375,-0.10005012,0.159446
0.1,0.055,0.0,0.0,0.137104
0.0,0.06,0.0,0.0,-0.1540125
0.005,0.06,-0.015674245,0.11374582,-0.1749045
0.01,0.06,-0.042452727,0.18887825,-0.20261025
0.015,0.06,-0.07588073,0.227718,-0.20638674
0.02,0.06,-0.10740227,0.23704275,-0.19538376
0.025,0.06,-0.133512,0.22446226,-0.1762285
0.03,0.06,-0.15359224,0.19654275,-0.151551
0.035,0.06,-0.16819325,0.15830675,-0.1228496
0.04,0.06,-0.1783135,0.1133043,-0.09093557
0.045,0.06,-0.1849395,0.06392437,-0.056096025
0.05,0.06,-0.18874075,0.011796575,-0.018387467
0.055,0.06,-0.18989575,-0.04178415,0.022095583
0.06,0.06,-0.1880025,-0.0954119,0.06498017
0.065,0.06,-0.18206325,-0.147086,0.10936017
0.07,0.06,-0.17059524,-0.19368225,0.15349975
0.075,0.06,-0.15195525,-0.23043,0.19456024
0.08,0.06,-0.12495375,-0.25055325,0.22863175
0.085,0.06,-0.0899148,-0.2453885,0.25062326
0.09,0.06,-0.051015,-0.20551375,0.251386
0.095,0.06,-0.019025534,-0.1237793,0.22005275
0.1,0.06,0.0,0.0,0.1952065
0.0,0.065,0.0,0.0,-0.236298
0.005,0.065,-0.019237913,0.13671505,-0.25853425
0.01,0.065,-0.048906974,0.2212605,-0.2843265
0.015,0.065,-0.0825495,0.2599535,-0.27949676
0.02,0.065,-0.1106768,0.264226,-0.2576545
0.025,0.065,-0.13073274,0.24510475,-0.22799625
0.03,0.065,-0.14358275,0.21109675,-0.19393
0.035,0.065,-0.1510985,0.1680535,-0.157059
0.04,0.065,-0.155282,0.11964483,-0.117959276
0.045,0.065,-0.157818,0.06796995,-0.07648585
0.05,0.065,-0.1598245,0.014141825,-0.03216438
0.055,0.065,-0.16172625,-0.04119065,0.01549057
0.06,0.065,-0.163169,-0.0973346,0.06670275
0.065,0.065,-0.162949,-0.15299025,0.121128626
0.07,0.065,-0.15901224,-0.2055635,0.17745274
0.075,0.065,-0.14864275,-0.250335,0.2329205
0.08,0.065,-0.12899725,-0.27959925,0.283115
0.085,0.065,-0.098339826,-0.2821465,0.3214305
0.09,0.065,-0.0593312,-0.24392425,0.33497676
0.095,0.065,-0.023674693,-0.15160266,0.30706924
0.1,0.065,0.0,0.0,0.2808075
0.0,0.07,0.0,0.0,-0.351643
0.005,0.07,-0.024425328,0.16341637,-0.373064
0.01,0.07,-0.0566125,0.25497574,-0.3907865
0.015,0.07,-0.087589025,0.2891555,-0.3695605
0.02,0.07,-0.1078925,0.28474426,-0.33022425
0.025,0.07,-0.117189,0.2571255,-0.285251
0.03,0.07,-0.118629925,0.216729,-0.2386365
0.035,0.07,-0.1157281,0.1698685,-0.1917265
0.04,0.07,-0.11152177,0.11993297,-0.144494
0.045,0.07,-0.10830825,0.06841555,-0.096041575
0.05,0.07,-0.107569225,0.01568824,-0.0450921
0.055,0.07,-0.10996065,-0.038420584,0.009675125
0.06,0.07,-0.1152658,-0.09412675,0.069365025
0.065,0.07,-0.12226923,-0.15112925,0.13455887
0.07,0.07,-0.1285885,-0.20783575,0.20484075
0.075,0.07,-0.13058674,-0.2602365,0.27812675
0.08,0.07,-0.12357525,-0.30038926,0.350071
0.085,0.07,-0.10288932,-0.31479475,0.412825
0.09,0.07,-0.06798925,-0.28368425,0.448969
0.095,0.07,-0.0298505,-0.1839915,0.4329565
0.1,0.07,0.0,0.0,0.4086155
0.0,0.075,0.0,0.0,-0.5199215
0.005,0.075,-0.031835075,0.19460075,-0.53406274
0.01,0.075,-0.064776376,0.2877155,-0.529357
0.015,0.075,-0.0874467,0.31058076,-0.4777495
0.02,0.075,-0.09304003,0.293122,-0.41083524
0.025,0.075,-0.085442774,0.25551876,-0.34418824
0.03,0.075,-0.07082405,0.20943224,-0.2814445
0.035,0.075,-0.05431428,0.16081475,-0.22282176
