x,y,u,v,p
0.04,0.075,-0.03966738,0.11215903,-0.16700925
0.045,0.075,-0.029432075,0.063998125,-0.11187453
0.05,0.075,-0.025182575,0.015809912,-0.0549981
0.055,0.075,-0.027692175,-0.033443462,0.00604975
0.06,0.075,-0.036962166,-0.08492877,0.07354982
0.065,0.075,-0.052063193,-0.139506,0.14942124
0.07,0.075,-0.07078598,-0.1970175,0.23479025
0.075,0.075,-0.0891628,-0.255009,0.32921174
0.08,0.075,-0.10102315,-0.30655876,0.42966375
0.085,0.075,-0.09828398,-0.33711675,0.5282835
0.09,0.075,-0.07498108,-0.32104424,0.60348374
0.095,0.075,-0.03766485,-0.221005,0.6175615
0.1,0.075,0.0,0.0,0.6038965
0.0,0.08,0.0,0.0,-0.7782235
0.005,0.08,-0.040884376,0.23057175,-0.7679245
0.01,0.08,-0.06916405,0.31399974,-0.70891523
0.015,0.08,-0.073068075,0.3159895,-0.60313576
0.02,0.08,-0.05420925,0.2816365,-0.49443975
0.025,0.08,-0.023012253,0.23445575,-0.39848375
0.03,0.08,0.011458825,0.18537275,-0.31623724
0.035,0.08,0.043308195,0.1386115,-0.24509275
0.04,0.08,0.0689604,0.09503993,-0.181303
0.045,0.08,0.08632693,0.0539726,-0.1208298
0.05,0.08,0.09421165,0.014023312,-0.059743226
0.055,0.08,0.091950476,-0.026533388,0.005729475
0.06,0.08,0.07929313,-0.0695971,0.0792829
0.065,0.08,0.056542784,-0.11706007,0.16456924
0.07,0.08,0.02500825,-0.1703675,0.26502675
0.075,0.08,-0.012148125,-0.22940326,0.38327426
0.08,0.08,-0.0486371,-0.29001325,0.5198055
0.085,0.08,-0.07377885,-0.33937424,0.66953975
0.09,0.08,-0.07426925,-0.34843275,0.8102925
0.095,0.08,-0.045470275,-0.26156324,0.8919885
0.1,0.08,0.0,0.0,0.9099545
0.0,0.085,0.0,0.0,-1.2061695
0.005,0.085,-0.04542855,0.2686065,-1.12437
0.01,0.085,-0.05547245,0.32135126,-0.9368442
0.015,0.085,-0.0232018,0.29184875,-0.737891
0.02,0.085,0.031116223,0.24067275,-0.5702545
0.025,0.085,0.090057276,0.18873325,-0.43797126
0.03,0.085,0.1443067,0.14255466,-0.334779
0.035,0.085,0.18944763,0.10306778,-0.252503
0.04,0.085,0.2235825,0.06907935,-0.18328975
0.045,0.085,0.24601425,0.03879105,-0.120434575
0.05,0.085,0.25646174,0.010301072,-0.058239024
0.055,0.085,0.25464275,-0.018340077,0.008469125
0.06,0.085,0.2401135,-0.04923245,0.08484308
0.065,0.085,0.21232425,-0.08475077,0.17650175
0.07,0.085,0.17098197,-0.12753515,0.28995875
0.075,0.085,0.11695717,-0.179966,0.43271974
0.08,0.085,0.054015674,-0.24225025,0.61203474
0.085,0.085,-0.008198792,-0.3076475,0.830991
0.09,0.085,-0.049898166,-0.35112524,1.0798064
0.095,0.085,-0.045274027,-0.3003035,1.311555
0.1,0.085,0.0,0.0,1.41383
0.0,0.09,0.0,0.0,-2.00803
0.005,0.09,-0.015656006,0.28794426,-1.7133075
0.01,0.09,0.019016474,0.285554,-1.2005248
0.015,0.09,0.1080317,0.22377025,-0.8418167
0.02,0.09,0.2017362,0.16593505,-0.60384625
0.025,0.09,0.28232926,0.12032572,-0.438169
0.03,0.09,0.3471145,0.08570125,-0.321053
0.035,0.09,0.396553,0.05934375,-0.23537375
0.04,0.09,0.43185124,0.038573075,-0.167799
0.045,0.09,0.45426324,0.021204527,-0.10877138
0.05,0.09,0.4646345,0.0054937676,-0.051159725
0.055,0.09,0.463191,-0.01009981,0.01110405
0.06,0.09,0.44944626,-0.02718655,0.08410315
0.065,0.09,0.42214075,-0.047754776,0.17500526
0.07,0.09,0.37928325,-0.074522376,0.29344675
0.075,0.09,0.318518,-0.11119,0.45314875
0.08,0.09,0.23794962,-0.1620568,0.672091
0.085,0.09,0.13882653,-0.22967374,0.9733985
0.09,0.09,0.03918258,-0.30394724,1.4027175
0.095,0.09,-0.0058816,-0.31197,1.99233
0.1,0.09,0.0,0.0,2.327175
0.0,0.095,0.0,0.0,-3.45315
0.005,0.095,0.18093555,0.21260674,-2.6453674
0.01,0.095,0.27813527,0.17738438,-1.4232845
0.015,0.095,0.40885824,0.1185657,-0.82302475
0.02,0.095,0.511801,0.07748965,-0.53192973
0.025,0.095,0.583944,0.05094455,-0.361455
0.03,0.095,0.6349372,0.033617493,-0.25421825
0.035,0.095,0.6707652,0.021961428,-0.18299975
0.04,0.095,0.69491625,0.013655458,-0.13025
0.045,0.095,0.7096282,0.0072150873,-0.08518463
0.05,0.095,0.716182,0.001660149,-0.0407527
0.055,0.095,0.7150323,-0.0037635134,0.008635625
0.06,0.095,0.7058475,-0.00981157,0.0685715
0.065,0.095,0.68739676,-0.01748625,0.14608756
0.07,0.095,0.65728325,-0.028387828,0.2519385
0.075,0.095,0.6115037,-0.0452373,0.404331
0.08,0.095,0.543111,-0.07254525,0.6336777
0.085,0.095,0.4404135,-0.1170175,1.0017275
0.09,0.095,0.30359203,-0.18214227,1.6962525
0.095,0.095,0.19606207,-0.2222465,3.023865
0.1,0.095,0.0,0.0,3.88637
0.0,0.1,0.5,0.0,-4.36666
0.005,0.1,1.0,0.0,-3.205645
0.01,0.1,1.0,0.0,-1.509084
0.015,0.1,1.0,0.0,-0.7683575
0.02,0.1,1.0,0.0,-0.4605095
0.025,0.1,1.0,0.0,-0.2989925
0.03,0.1,1.0,0.0,-0.205129
0.035,0.1,1.0,0.0,-0.146947
0.04,0.1,1.0,0.0,-0.105628
0.045,0.1,1.0,0.0,-0.07049145
0.05,0.1,1.0,0.0,-0.0350779
0.055,0.1,1.0,0.0,0.0055077
0.06,0.1,1.0,0.0,0.05613875
0.065,0.1,1.0,0.0,0.1231731
0.07,0.1,1.0,0.0,0.217075
0.075,0.1,1.0,0.0,0.3572595
0.08,0.1,1.0,0.0,0.580163
0.085,0.1,1.0,0.0,0.9719665
0.09,0.1,1.0,0.0,1.818375
0.095,0.1,1.0,0.0,3.62979
0.1,0.1,0.5,0.0,4.84854
0.0,0.0,0.0,0.0,4.29931e-06
0.005,0.0,0.0,0.0,-0.0029091353
0.01,0.0,0.0,0.0,-0.009391435
0.015,0.0,0.0,0.0,-0.01568645
0.02,0.0,0.0,0.0,-0.01942135
0.025,0.0,0.0,0.0,-0.0193333
0.03,0.0,0.0,0.0,-0.01500425
0.035,0.0,0.0,0.0,-0.006626935
0.04,0.0,0.0,0.0,0.005178615
0.045,0.0,0.0,0.0,0.01949495
0.05,0.0,0.0,0.0,0.0351984
0.055,0.0,0.0,0.0,0.0510353
0.06,0.0,0.0,0.0,0.0657024
0.065,0.0,0.0,0.0,0.07794515
0.07,0.0,0.0,0.0,0.08668225
0.075,0.0,0.0,0.0,0.0911615
0.08,0.0,0.0,0.0,0.09114805
0.085,0.0,0.0,0.0,0.08713655
0.09,0.0,0.0,0.0,0.08056405
0.095,0.0,0.0,0.0,0.07397575
0.1,0.0,0.0,0.0,0.071069
0.0,0.005,0.0,0.0,0.0028937845
0.005,0.005,-0.000323631,0.0003341185,-6.269692e-05
0.01,0.005,-0.002085186,0.0014846118,-0.0062000793
0.015,0.005,-0.0055177924,0.0025255657,-0.011678738
0.02,0.005,-0.010118045,0.0031773674,-0.014744998
0.025,0.005,-0.01528594,0.0034029225,-0.014423568
0.03,0.005,-0.020436864,0.003238063,-0.010351835
0.035,0.005,-0.02504755,0.0027457834,-0.002686505
0.04,0.005,-0.02868815,0.0019989267,0.008034438
0.045,0.005,-0.03103675,0.0010735007,0.021001974
0.05,0.005,-0.031886324,4.824025e-05,0.0352154
0.055,0.005,-0.031151526,-0.0009935575,0.0495524
0.06,0.005,-0.0288763,-0.0019625092,0.062845126
0.065,0.005,-0.025241375,-0.0027635398,0.0739725
0.07,0.005,-0.02056817,-0.0032994938,0.08197452
0.075,0.005,-0.015313265,-0.0034793725,0.08619065
0.08,0.005,-0.010044818,-0.0032331317,0.0864232
0.085,0.005,-0.0053920676,-0.0025348205,0.083102226
0.09,0.005,-0.0019741987,-0.0014489054,0.0773652
0.095,0.005,-0.00026785434,-0.0002899237,0.071136825
0.1,0.005,0.0,0.0,0.0681944
0.0,0.01,0.0,0.0,0.009560385
0.005,0.01,-0.0014823582,0.002075959,0.0059852335
0.01,0.01,-0.005401565,0.0053060376,-0.00049365574
0.015,0.01,-0.011998912,0.008071555,-0.0051890514
0.02,0.01,-0.0203433,0.009783625,-0.0074573224
0.025,0.01,-0.029472075,0.010322813,-0.00689018
0.03,0.01,-0.038455725,0.009757242,-0.003264205
0.035,0.01,-0.046443325,0.008244568,0.0032853074
0.04,0.01,-0.0527249,0.0059849727,0.012328375
0.045,0.01,-0.0567649,0.003199043,0.02321815
0.05,0.01,-0.05821915,0.00012147625,0.0351457
0.055,0.01,-0.056948,-0.0029983218,0.04719435
0.06,0.01,-0.05302855,-0.0058955424,0.0584043
0.065,0.01,-0.046764426,-0.008294097,0.067852
0.07,0.01,-0.038688026,-0.009919727,0.074745126
0.075,0.01,-0.0295467,-0.01052582,0.07853208
0.08,0.01,-0.0202574,-0.00993595,0.07903002
0.085,0.01,-0.011818903,-0.008105275,0.07651678
0.09,0.01,-0.005229925,-0.00521993,0.07155698
0.095,0.01,-0.0013903346,-0.0019579954,0.06498515
0.1,0.01,0.0,0.0,0.0614286
0.0,0.015,0.0,0.0,0.01673955
0.005,0.015,-0.0027151234,0.005632475,0.01180329
0.01,0.015,-0.008824037,0.012026562,0.003492226
0.015,0.015,-0.018451124,0.017189026,-0.001713169
0.02,0.015,-0.030166825,0.020288525,-0.00401967
0.025,0.015,-0.04269095,0.0211313,-0.003534185
0.03,0.015,-0.0548473,0.01983655,-0.000202125
0.035,0.015,-0.06556525,0.016694775,0.0057881423
0.04,0.015,-0.0739523,0.01208768,0.014025298
0.045,0.015,-0.07933558,0.0064457427,0.023933325
0.05,0.015,-0.08128227,0.000232285,0.034802075
0.055,0.015,-0.07961535,-0.0060596475,0.045821924
0.06,0.015,-0.0744282,-0.011909245,0.05613295
0.065,0.015,-0.066096775,-0.016778374,0.06489015
0.07,0.015,-0.0552832,-0.0201385,0.0713424
0.075,0.015,-0.042921625,-0.02152105,0.07492425
0.08,0.015,-0.0301656,-0.020596575,0.0753736
0.085,0.015,-0.0182869,-0.017282125,0.07278925
0.09,0.015,-0.008628225,-0.01188802,0.06723952
0.095,0.015,-0.0025981555,-0.005413398,0.05876355
0.1,0.015,0.0,0.0,0.05382095
0.0,0.02,0.0,0.0,0.02232285
0.005,0.02,-0.0038589388,0.010883703,0.015779752
0.01,0.02,-0.01208436,0.021402976,0.005073284
0.015,0.02,-0.02464125,0.02943515,-0.0012078837
0.02,0.02,-0.039547823,0.03404925,-0.003917955
0.025,0.02,-0.0551954,0.035056625,-0.00360236
0.03,0.02,-0.07019313,0.032681275,-0.0003698825
0.035,0.02,-0.0833062,0.027390076,0.005507965
0.04,0.02,-0.09352005,0.019786125,0.013592003
0.045,0.02,-0.10007575,0.010548462,0.02332325
0.05,0.02,-0.1024841,0.0004074825,0.0340319
0.055,0.02,-0.1005381,-0.00986073,0.044951875
0.06,0.02,-0.0943291,-0.019437624,0.055253126
0.065,0.02,-0.0842628,-0.027477525,0.06409243
0.07,0.02,-0.0710713,-0.0331476,0.0706794
0.075,0.02,-0.055811,-0.035703074,0.07435898
0.08,0.02,-0.039819,-0.034603827,0.07473533
0.085,0.02,-0.02461895,-0.029666824,0.07172205
0.09,0.02,-0.011926793,-0.021251775,0.06497052
0.095,0.02,-0.0037354403,-0.01056088,0.053944025
0.1,0.02,0.0,0.0,0.04732185
0.0,0.025,0.0,0.0,0.024842
0.005,0.025,-0.0049354276,0.017731486,0.016652824
0.01,0.025,-0.015217942,0.033324573,0.0034298012
0.015,0.025,-0.0306397,0.04466195,-0.0040620263
0.02,0.025,-0.04863735,0.0508536,-0.007212595
0.025,0.025,-0.06725695,0.051828325,-0.0069534676
0.03,0.025,-0.08490465,0.0479977,-0.0035454975
0.035,0.025,-0.1002158,0.040063426,0.0026472176
0.04,0.025,-0.11209677,0.028889826,0.01113649
0.045,0.025,-0.1197405,0.015430935,0.0213525
0.05,0.025,-0.12262525,0.0007022825,0.032633375
0.055,0.025,-0.12051775,-0.014221977,0.044219676
0.06,0.025,-0.11348762,-0.028207675,0.05526925
0.065,0.025,-0.101931,-0.040074576,0.06489302
0.07,0.025,-0.086599074,-0.04864365,0.07220905
0.075,0.025,-0.06862115,-0.05283295,0.07642065
0.08,0.025,-0.049486425,-0.0518101,0.0769574
0.085,0.025,-0.0309722,-0.0451916,0.07353465
0.09,0.025,-0.01521015,-0.033272825,0.06542395
0.095,0.025,-0.004841815,-0.01734452,0.051625
0.1,0.025,0.0,0.0,0.04321565
0.0,0.03,0.0,0.0,0.0231377
0.005,0.03,-0.00599697,0.026136724,0.0132918
0.01,0.03,-0.018325532,0.047760874,-0.002460137
0.015,0.03,-0.036587127,0.06283222,-0.011123672
0.02,0.03,-0.0576086,0.07063215,-0.014575035
0.025,0.03,-0.07907808,0.07133815,-0.014111905
0.03,0.03,-0.09921235,0.06565515,-0.010145295
0.035,0.03,-0.1165505,0.054593377,-0.003139495
0.04,0.03,-0.129962,0.039321575,0.0063551525
0.045,0.03,-0.13863026,0.02108734,0.017741457
0.05,0.03,-0.142025,0.0011934275,0.030346375
0.055,0.03,-0.13988975,-0.018993137,0.0433945
0.06,0.03,-0.1322515,-0.038024474,0.056003723
0.065,0.03,-0.11945575,-0.054373,0.06720395
0.07,0.03,-0.102218576,-0.0664751,0.075978026
0.075,0.03,-0.08168755,-0.07283935,0.0813375
0.08,0.03,-0.0594677,-0.0722327,0.082488276
0.085,0.03,-0.0375883,-0.06393435,0.0789119
0.09,0.03,-0.018640725,-0.048031475,0.069487
0.095,0.03,-0.0059941374,-0.025795275,0.052782375
0.1,0.03,0.0,0.0,0.04248295
0.0,0.035,0.0,0.0,0.0161202
0.005,0.035,-0.0070967777,0.03611325,0.0045910007
0.01,0.035,-0.021512425,0.06472055,-0.013670425
0.015,0.035,-0.042616274,0.08391645,-0.02334115
0.02,0.035,-0.06658147,0.09329548,-0.0267971
0.025,0.035,-0.09073143,0.09344043,-0.02572405
0.03,0.035,-0.11312202,0.08547933,-0.02069855
0.035,0.035,-0.1322455,0.0708187,-0.012296995
0.04,0.035,-0.14699025,0.05097655,-0.0011404474
0.045,0.035,-0.1565805,0.02750275,0.012140698
0.05,0.035,-0.16050924,0.001970825,0.026857374
0.055,0.035,-0.1585035,-0.0239878,0.04221185
0.06,0.035,-0.15052775,-0.0486372,0.057270225
0.065,0.035,-0.136829,-0.07010895,0.07095955
0.07,0.035,-0.118019626,-0.0864253,0.0820913
0.075,0.035,-0.095190026,-0.0956052,0.08943237
0.08,0.035,-0.06999843,-0.095879726,0.09189948
0.085,0.035,-0.044701874,-0.08601105,0.088670425
0.09,0.035,-0.022391075,-0.065688424,0.07815193
0.095,0.035,-0.0072741,-0.03603065,0.058428276
0.1,0.035,0.0,0.0,0.0460962
0.0,0.04,0.0,0.0,0.002589935
0.005,0.04,-0.008286285,0.047726274,-0.010675132
0.01,0.04,-0.024874926,0.08424678,-0.0314053
0.015,0.04,-0.048823927,0.10786965,-0.041784827
0.02,0.04,-0.0755832,0.11868575,-0.04477195
0.025,0.04,-0.1021146,0.117883,-0.042514224
0.03,0.04,-0.12636726,0.10717355,-0.035792377
0.035,0.04,-0.14686625,0.0884623,-0.025314
0.04,0.04,-0.162602,0.06365958,-0.011775527
0.045,0.04,-0.172909,0.034612127,0.0041657323
0.05,0.04,-0.177351,0.0031243,0.021817084
0.055,0.04,-0.1756555,-0.028965876,0.0403721
0.06,0.04,-0.16770625,-0.059691627,0.05885395
0.065,0.04,-0.1535955,-0.08687913,0.0760833
0.07,0.04,-0.1337425,-0.10812587,0.09067525
0.075,0.04,-0.10906977,-0.120883,0.101096876
0.08,0.04,-0.0811811,-0.1226845,0.10589003
0.085,0.04,-0.0524943,-0.11154,0.1038143
0.09,0.04,-0.0266225,-0.08647555,0.09264165
0.095,0.04,-0.008763795,-0.04825415,0.0698167
0.1,0.04,0.0,0.0,0.0552661
0.0,0.045,0.0,0.0,-0.018909965
0.005,0.045,-0.009623403,0.061089426,-0.033989534
0.01,0.045,-0.02850755,0.10640015,-0.057105176
0.015,0.045,-0.055265274,0.13458826,-0.06770845
0.02,0.045,-0.08452313,0.14650676,-0.06951425
0.025,0.045,-0.112904824,0.1442195,-0.0652735
0.03,0.045,-0.1383505,0.1302255,-0.0560395
0.035,0.045,-0.15954074,0.10704373,-0.042678725
0.04,0.045,-0.17568725,0.07701325,-0.025962293
0.045,0.045,-0.186333,0.042251,-0.00655334
0.05,0.045,-0.19118024,0.004721975,0.014885377
0.055,0.045,-0.189988,-0.0336236,0.0375774
0.06,0.045,-0.18254624,-0.07068645,0.060538974
0.065,0.045,-0.16873175,-0.10406485,0.08250705
0.07,0.045,-0.14865924,-0.1309575,0.10189475
0.075,0.045,-0.12292825,-0.148186,0.11681975
0.08,0.045,-0.09291518,-0.152407,0.12534375
0.085,0.045,-0.061059725,-0.14057325,0.1256395
0.09,0.045,-0.03148,-0.110664,0.11457332
0.095,0.045,-0.01055127,-0.062749,0.0886572
0.1,0.045,0.0,0.0,0.07167475
0.0,0.05,0.0,0.0,-0.05025995
0.005,0.05,-0.011190972,0.0763689,-0.0672487
0.01,0.05,-0.032524925,0.13123302,-0.09255788
