x,y,u,v,p
0.015,0.05,-0.0619575,0.163841,-0.10258737
0.02,0.05,-0.0931639,0.1762205,-0.10213093
0.025,0.05,-0.12249775,0.1716895,-0.0947827
0.03,0.05,-0.14805625,0.15378825,-0.081973575
0.035,0.05,-0.16885875,0.125774,-0.064762875
0.04,0.05,-0.1845005,0.09043297,-0.0439852
0.045,0.05,-0.1948605,0.050094824,-0.020267783
0.05,0.05,-0.1998675,0.006777875,0.0058171176
0.055,0.05,-0.19935875,-0.03759295,0.0335937
0.06,0.05,-0.19303074,-0.08093408,0.06214365
0.065,0.05,-0.1804885,-0.1207506,0.09018155
0.07,0.05,-0.161416,-0.1539275,0.1159486
0.075,0.05,-0.1358895,-0.17663875,0.137185
0.08,0.05,-0.104802,-0.1844855,0.151359
0.085,0.05,-0.07036477,-0.1729835,0.15583
0.09,0.05,-0.0370944,-0.13850924,0.1461415
0.095,0.05,-0.0127444,-0.07987192,0.11736873
0.1,0.05,0.0,0.0,0.09775445
0.0,0.055,0.0,0.0,-0.0940325
0.005,0.055,-0.01312747,0.0938037,-0.113005
0.01,0.055,-0.0370924,0.1587565,-0.14005224
0.015,0.055,-0.06887275,0.1951685,-0.148149
0.02,0.055,-0.101059,0.20690425,-0.14375
0.025,0.055,-0.12989876,0.199066,-0.131677
0.03,0.055,-0.15391774,0.1765415,-0.11388045
0.035,0.055,-0.17273225,0.143441,-0.0916423
0.04,0.055,-0.18652625,0.10297855,-0.06582668
0.045,0.055,-0.195662,0.05759465,-0.0369518
0.05,0.055,-0.20039475,0.0092102,-0.0054034875
0.055,0.055,-0.20070025,-0.0404567,0.028353937
0.06,0.055,-0.19620225,-0.08953955,0.0635869
0.065,0.055,-0.18619876,-0.135654,0.09910445
0.07,0.055,-0.16982475,-0.17554075,0.13306674
0.075,0.055,-0.1464035,-0.2047955,0.16286024
0.08,0.055,-0.11599627,-0.217832,0.18526874
0.085,0.055,-0.08017662,-0.2082895,0.1965645
0.09,0.055,-0.04358095,-0.1701615,0.19035874
0.095,0.055,-0.01549375,-0.10005012,0.159446
0.1,0.055,0.0,0.0,0.137104
0.0,0.06,0.0,0.0,-0.1540125
0.005,0.06,-0.015674245,0.11374582,-0.1749045
0.01,0.06,-0.042452727,0.18887825,-0.20261025
0.015,0.06,-0.07588073,0.227718,-0.20638674
0.02,0.06,-0.10740227,0.23704275,-0.19538376
0.025,0.06,-0.133512,0.22446226,-0.1762285
0.03,0.06,-0.15359224,0.19654275,-0.151551
0.035,0.06,-0.16819325,0.15830675,-0.1228496
0.04,0.06,-0.1783135,0.1133043,-0.09093557
0.045,0.06,-0.1849395,0.06392437,-0.056096025
0.05,0.06,-0.18874075,0.011796575,-0.018387467
0.055,0.06,-0.18989575,-0.04178415,0.022095583
0.06,0.06,-0.1880025,-0.0954119,0.06498017
0.065,0.06,-0.18206325,-0.147086,0.10936017
0.07,0.06,-0.17059524,-0.19368225,0.15349975
0.075,0.06,-0.15195525,-0.23043,0.19456024
0.08,0.06,-0.12495375,-0.25055325,0.22863175
0.085,0.06,-0.0899148,-0.2453885,0.25062326
0.09,0.06,-0.051015,-0.20551375,0.251386
0.095,0.06,-0.019025534,-0.1237793,0.22005275
0.1,0.06,0.0,0.0,0.1952065
0.0,0.065,0.0,0.0,-0.236298
0.005,0.065,-0.019237913,0.13671505,-0.25853425
0.01,0.065,-0.048906974,0.2212605,-0.2843265
0.015,0.065,-0.0825495,0.2599535,-0.27949676
0.02,0.065,-0.1106768,0.264226,-0.2576545
0.025,0.065,-0.13073274,0.24510475,-0.22799625
0.03,0.065,-0.14358275,0.21109675,-0.19393
0.035,0.065,-0.1510985,0.1680535,-0.157059
0.04,0.065,-0.155282,0.11964483,-0.117959276
0.045,0.065,-0.157818,0.06796995,-0.07648585
0.05,0.065,-0.1598245,0.014141825,-0.03216438
0.055,0.065,-0.16172625,-0.04119065,0.01549057
0.06,0.065,-0.163169,-0.0973346,0.06670275
0.065,0.065,-0.162949,-0.15299025,0.121128626
0.07,0.065,-0.15901224,-0.2055635,0.17745274
0.075,0.065,-0.14864275,-0.250335,0.2329205
0.08,0.065,-0.12899725,-0.27959925,0.283115
0.085,0.065,-0.098339826,-0.2821465,0.3214305
0.09,0.065,-0.0593312,-0.24392425,0.33497676
0.095,0.065,-0.023674693,-0.15160266,0.30706924
0.1,0.065,0.0,0.0,0.2808075
0.0,0.07,0.0,0.0,-0.351643
0.005,0.07,-0.024425328,0.16341637,-0.373064
0.01,0.07,-0.0566125,0.25497574,-0.3907865
0.015,0.07,-0.087589025,0.2891555,-0.3695605
0.02,0.07,-0.1078925,0.28474426,-0.33022425
0.025,0.07,-0.117189,0.2571255,-0.285251
0.03,0.07,-0.118629925,0.216729,-0.2386365
0.035,0.07,-0.1157281,0.1698685,-0.1917265
0.04,0.07,-0.11152177,0.11993297,-0.144494
0.045,0.07,-0.10830825,0.06841555,-0.096041575
0.05,0.07,-0.107569225,0.01568824,-0.0450921
0.055,0.07,-0.10996065,-0.038420584,0.009675125
0.06,0.07,-0.1152658,-0.09412675,0.069365025
0.065,0.07,-0.12226923,-0.15112925,0.13455887
0.07,0.07,-0.1285885,-0.20783575,0.20484075
0.075,0.07,-0.13058674,-0.2602365,0.27812675
0.08,0.07,-0.12357525,-0.30038926,0.350071
0.085,0.07,-0.10288932,-0.31479475,0.412825
0.09,0.07,-0.06798925,-0.28368425,0.448969
0.095,0.07,-0.0298505,-0.1839915,0.4329565
0.1,0.07,0.0,0.0,0.4086155
0.0,0.075,0.0,0.0,-0.5199215
0.005,0.075,-0.031835075,0.19460075,-0.53406274
0.01,0.075,-0.064776376,0.2877155,-0.529357
0.015,0.075,-0.0874467,0.31058076,-0.4777495
0.02,0.075,-0.09304003,0.293122,-0.41083524
0.025,0.075,-0.085442774,0.25551876,-0.34418824
0.03,0.075,-0.07082405,0.20943224,-0.2814445
0.035,0.075,-0.05431428,0.16081475,-0.22282176
0.04,0.075,-0.03966738,0.11215903,-0.16700925
0.045,0.075,-0.029432075,0.063998125,-0.11187453
0.05,0.075,-0.025182575,0.015809912,-0.0549981
0.055,0.075,-0.027692175,-0.033443462,0.00604975
0.06,0.075,-0.036962166,-0.08492877,0.07354982
0.065,0.075,-0.052063193,-0.139506,0.14942124
0.07,0.075,-0.07078598,-0.1970175,0.23479025
0.075,0.075,-0.0891628,-0.255009,0.32921174
0.08,0.075,-0.10102315,-0.30655876,0.42966375
0.085,0.075,-0.09828398,-0.33711675,0.5282835
0.09,0.075,-0.07498108,-0.32104424,0.60348374
0.095,0.075,-0.03766485,-0.221005,0.6175615
0.1,0.075,0.0,0.0,0.6038965
0.0,0.08,0.0,0.0,-0.7782235
0.005,0.08,-0.040884376,0.23057175,-0.7679245
0.01,0.08,-0.06916405,0.31399974,-0.70891523
0.015,0.08,-0.073068075,0.3159895,-0.60313576
0.02,0.08,-0.05420925,0.2816365,-0.49443975
0.025,0.08,-0.023012253,0.23445575,-0.39848375
0.03,0.08,0.011458825,0.18537275,-0.31623724
0.035,0.08,0.043308195,0.1386115,-0.24509275
0.04,0.08,0.0689604,0.09503993,-0.181303
0.045,0.08,0.08632693,0.0539726,-0.1208298
0.05,0.08,0.09421165,0.014023312,-0.059743226
0.055,0.08,0.091950476,-0.026533388,0.005729475
0.06,0.08,0.07929313,-0.0695971,0.0792829
0.065,0.08,0.056542784,-0.11706007,0.16456924
0.07,0.08,0.02500825,-0.1703675,0.26502675
0.075,0.08,-0.012148125,-0.22940326,0.38327426
0.08,0.08,-0.0486371,-0.29001325,0.5198055
0.085,0.08,-0.07377885,-0.33937424,0.66953975
0.09,0.08,-0.07426925,-0.34843275,0.8102925
0.095,0.08,-0.045470275,-0.26156324,0.8919885
0.1,0.08,0.0,0.0,0.9099545
0.0,0.085,0.0,0.0,-1.2061695
0.005,0.085,-0.04542855,0.2686065,-1.12437
0.01,0.085,-0.05547245,0.32135126,-0.9368442
0.015,0.085,-0.0232018,0.29184875,-0.737891
0.02,0.085,0.031116223,0.24067275,-0.5702545
0.025,0.085,0.090057276,0.18873325,-0.43797126
0.03,0.085,0.1443067,0.14255466,-0.334779
0.035,0.085,0.18944763,0.10306778,-0.252503
0.04,0.085,0.2235825,0.06907935,-0.18328975
0.045,0.085,0.24601425,0.03879105,-0.120434575
0.05,0.085,0.25646174,0.010301072,-0.058239024
0.055,0.085,0.25464275,-0.018340077,0.008469125
0.06,0.085,0.2401135,-0.04923245,0.08484308
0.065,0.085,0.21232425,-0.08475077,0.17650175
0.07,0.085,0.17098197,-0.12753515,0.28995875
0.075,0.085,0.11695717,-0.179966,0.43271974
0.08,0.085,0.054015674,-0.24225025,0.61203474
0.085,0.085,-0.008198792,-0.3076475,0.830991
0.09,0.085,-0.049898166,-0.35112524,1.0798064
0.095,0.085,-0.045274027,-0.3003035,1.311555
0.1,0.085,0.0,0.0,1.41383
0.0,0.09,0.0,0.0,-2.00803
0.005,0.09,-0.015656006,0.28794426,-1.7133075
0.01,0.09,0.019016474,0.285554,-1.2005248
0.015,0.09,0.1080317,0.22377025,-0.8418167
0.02,0.09,0.2017362,0.16593505,-0.60384625
0.025,0.09,0.28232926,0.12032572,-0.438169
0.03,0.09,0.3471145,0.08570125,-0.321053
0.035,0.09,0.396553,0.05934375,-0.23537375
0.04,0.09,0.43185124,0.038573075,-0.167799
0.045,0.09,0.45426324,0.021204527,-0.10877138
0.05,0.09,0.4646345,0.0054937676,-0.051159725
0.055,0.09,0.463191,-0.01009981,0.01110405
0.06,0.09,0.44944626,-0.02718655,0.08410315
0.065,0.09,0.42214075,-0.047754776,0.17500526
0.07,0.09,0.37928325,-0.074522376,0.29344675
0.075,0.09,0.318518,-0.11119,0.45314875
0.08,0.09,0.23794962,-0.1620568,0.672091
0.085,0.09,0.13882653,-0.22967374,0.9733985
0.09,0.09,0.03918258,-0.30394724,1.4027175
0.095,0.09,-0.0058816,-0.31197,1.99233
0.1,0.09,0.0,0.0,2.327175
0.0,0.095,0.0,0.0,-3.45315
0.005,0.095,0.18093555,0.21260674,-2.6453674
0.01,0.095,0.27813527,0.17738438,-1.4232845
0.015,0.095,0.40885824,0.1185657,-0.82302475
0.02,0.095,0.511801,0.07748965,-0.53192973
0.025,0.095,0.583944,0.05094455,-0.361455
0.03,0.095,0.6349372,0.033617493,-0.25421825
0.035,0.095,0.6707652,0.021961428,-0.18299975
0.04,0.095,0.69491625,0.013655458,-0.13025
0.045,0.095,0.7096282,0.0072150873,-0.08518463
0.05,0.095,0.716182,0.001660149,-0.0407527
0.055,0.095,0.7150323,-0.0037635134,0.008635625
0.06,0.095,0.7058475,-0.00981157,0.0685715
0.065,0.095,0.68739676,-0.01748625,0.14608756
0.07,0.095,0.65728325,-0.028387828,0.2519385
0.075,0.095,0.6115037,-0.0452373,0.404331
0.08,0.095,0.543111,-0.07254525,0.6336777
0.085,0.095,0.4404135,-0.1170175,1.0017275
0.09,0.095,0.30359203,-0.18214227,1.6962525
0.095,0.095,0.19606207,-0.2222465,3.023865
0.1,0.095,0.0,0.0,3.88637
0.0,0.1,0.5,0.0,-4.36666
0.005,0.1,1.0,0.0,-3.205645
0.01,0.1,1.0,0.0,-1.509084
0.015,0.1,1.0,0.0,-0.7683575
0.02,0.1,1.0,0.0,-0.4605095
0.025,0.1,1.0,0.0,-0.2989925
0.03,0.1,1.0,0.0,-0.205129
0.035,0.1,1.0,0.0,-0.146947
0.04,0.1,1.0,0.0,-0.105628
0.045,0.1,1.0,0.0,-0.07049145
0.05,0.1,1.0,0.0,-0.0350779
0.055,0.1,1.0,0.0,0.0055077
0.06,0.1,1.0,0.0,0.05613875
0.065,0.1,1.0,0.0,0.1231731
0.07,0.1,1.0,0.0,0.217075
0.075,0.1,1.0,0.0,0.3572595
0.08,0.1,1.0,0.0,0.580163
0.085,0.1,1.0,0.0,0.9719665
0.09,0.1,1.0,0.0,1.818375
0.095,0.1,1.0,0.0,3.62979
0.1,0.1,0.5,0.0,4.84854
0.0,0.1,1.0,0.0,-4.36666
0.0,0.1,1.0,0.0,-4.36666
0.005,0.1,1.0,0.0,-3.205645
0.005,0.1,1.0,0.0,-3.205645
0.01,0.1,1.0,0.0,-1.509084
0.01,0.1,1.0,0.0,-1.509084
0.015,0.1,1.0,0.0,-0.7683575
0.015,0.1,1.0,0.0,-0.7683575
0.02,0.1,1.0,0.0,-0.4605095
0.02,0.1,1.0,0.0,-0.4605095
0.025,0.1,1.0,0.0,-0.2989925
0.025,0.1,1.0,0.0,-0.2989925
0.03,0.1,1.0,0.0,-0.205129
0.03,0.1,1.0,0.0,-0.205129
0.035,0.1,1.0,0.0,-0.146947
0.035,0.1,1.0,0.0,-0.146947
0.04,0.1,1.0,0.0,-0.105628
0.04,0.1,1.0,0.0,-0.105628
0.045,0.1,1.0,0.0,-0.07049145
0.045,0.1,1.0,0.0,-0.07049145
0.05,0.1,1.0,0.0,-0.0350779
0.05,0.1,1.0,0.0,-0.0350779
0.055,0.1,1.0,0.0,0.0055077
0.055,0.1,1.0,0.0,0.0055077
0.06,0.1,1.0,0.0,0.05613875
0.06,0.1,1.0,0.0,0.05613875
0.065,0.1,1.0,0.0,0.1231731
0.065,0.1,1.0,0.0,0.1231731
0.07,0.1,1.0,0.0,0.217075
0.07,0.1,1.0,0.0,0.217075
0.075,0.1,1.0,0.0,0.3572595
0.075,0.1,1.0,0.0,0.3572595
0.08,0.1,1.0,0.0,0.580163
0.08,0.1,1.0,0.0,0.580163
0.085,0.1,1.0,0.0,0.9719665
0.085,0.1,1.0,0.0,0.9719665
0.09,0.1,1.0,0.0,1.818375
0.09,0.1,1.0,0.0,1.818375
0.095,0.1,1.0,0.0,3.62979
0.095,0.1,1.0,0.0,3.62979
0.1,0.1,1.0,0.0,4.84854
0.1,0.1,1.0,0.0,4.84854
0.0,0.0,0.0,0.0,4.29931e-06
0.0,0.0,0.0,0.0,4.29931e-06
0.0,0.005,0.0,0.0,0.0028937845
0.0,0.005,0.0,0.0,0.0028937845
0.0,0.01,0.0,0.0,0.009560385
0.0,0.01,0.0,0.0,0.009560385
0.0,0.015,0.0,0.0,0.01673955
0.0,0.015,0.0,0.0,0.01673955
0.0,0.02,0.0,0.0,0.02232285
0.0,0.02,0.0,0.0,0.02232285
0.0,0.025,0.0,0.0,0.024842
0.0,0.025,0.0,0.0,0.024842
0.0,0.03,0.0,0.0,0.0231377
0.0,0.03,0.0,0.0,0.0231377
0.0,0.035,0.0,0.0,0.0161202
0.0,0.035,0.0,0.0,0.0161202
0.0,0.04,0.0,0.0,0.002589935
0.0,0.04,0.0,0.0,0.002589935
0.0,0.045,0.0,0.0,-0.018909965
0.0,0.045,0.0,0.0,-0.018909965
0.0,0.05,0.0,0.0,-0.05025995
0.0,0.05,0.0,0.0,-0.05025995
0.0,0.055,0.0,0.0,-0.0940325
0.0,0.055,0.0,0.0,-0.0940325
0.0,0.06,0.0,0.0,-0.1540125
0.0,0.06,0.0,0.0,-0.1540125
0.0,0.065,0.0,0.0,-0.236298
0.0,0.065,0.0,0.0,-0.236298
0.0,0.07,0.0,0.0,-0.351643
0.0,0.07,0.0,0.0,-0.351643
0.0,0.075,0.0,0.0,-0.5199215
0.0,0.075,0.0,0.0,-0.5199215
0.0,0.08,0.0,0.0,-0.7782235
0.0,0.08,0.0,0.0,-0.7782235
0.0,0.085,0.0,0.0,-1.2061695
0.0,0.085,0.0,0.0,-1.2061695
0.0,0.09,0.0,0.0,-2.00803
0.0,0.09,0.0,0.0,-2.00803
0.0,0.095,0.0,0.0,-3.45315
0.0,0.095,0.0,0.0,-3.45315
0.0,0.1,0.0,0.0,-4.36666
0.0,0.1,0.0,0.0,-4.36666
0.1,0.0,0.0,0.0,0.071069
0.1,0.005,0.0,0.0,0.0681944
0.1,0.005,0.0,0.0,0.0681944
0.1,0.0,0.0,0.0,0.071069
0.1,0.01,0.0,0.0,0.0614286
0.1,0.01,0.0,0.0,0.0614286
0.1,0.015,0.0,0.0,0.05382095
0.1,0.015,0.0,0.0,0.05382095
0.1,0.02,0.0,0.0,0.04732185
0.1,0.02,0.0,0.0,0.04732185
0.1,0.025,0.0,0.0,0.04321565
0.1,0.025,0.0,0.0,0.04321565
0.1,0.03,0.0,0.0,0.04248295
0.1,0.03,0.0,0.0,0.04248295
0.1,0.035,0.0,0.0,0.0460962
0.1,0.035,0.0,0.0,0.0460962
0.1,0.04,0.0,0.0,0.0552661
0.1,0.04,0.0,0.0,0.0552661
0.1,0.045,0.0,0.0,0.07167475
0.1,0.045,0.0,0.0,0.07167475
0.1,0.05,0.0,0.0,0.09775445
0.1,0.05,0.0,0.0,0.09775445
0.1,0.055,0.0,0.0,0.137104
0.1,0.055,0.0,0.0,0.137104
0.1,0.06,0.0,0.0,0.1952065
0.1,0.06,0.0,0.0,0.1952065
0.1,0.065,0.0,0.0,0.2808075
0.1,0.065,0.0,0.0,0.2808075
0.1,0.07,0.0,0.0,0.4086155
0.1,0.07,0.0,0.0,0.4086155
0.1,0.075,0.0,0.0,0.6038965
0.1,0.075,0.0,0.0,0.6038965
0.1,0.08,0.0,0.0,0.9099545
0.1,0.08,0.0,0.0,0.9099545
0.1,0.085,0.0,0.0,1.41383
0.1,0.085,0.0,0.0,1.41383
0.1,0.09,0.0,0.0,2.327175
0.1,0.09,0.0,0.0,2.327175
0.1,0.095,0.0,0.0,3.88637
0.1,0.095,0.0,0.0,3.88637
0.1,0.1,0.0,0.0,4.84854
0.1,0.1,0.0,0.0,4.84854
0.005,0.0,0.0,0.0,-0.0029091353
0.005,0.0,0.0,0.0,-0.0029091353
0.01,0.0,0.0,0.0,-0.009391435
0.01,0.0,0.0,0.0,-0.009391435
0.015,0.0,0.0,0.0,-0.01568645
0.015,0.0,0.0,0.0,-0.01568645
0.02,0.0,0.0,0.0,-0.01942135
0.02,0.0,0.0,0.0,-0.01942135
0.025,0.0,0.0,0.0,-0.0193333
0.025,0.0,0.0,0.0,-0.0193333
0.03,0.0,0.0,0.0,-0.01500425
0.03,0.0,0.0,0.0,-0.01500425
0.035,0.0,0.0,0.0,-0.006626935
0.035,0.0,0.0,0.0,-0.006626935
0.04,0.0,0.0,0.0,0.005178615
0.04,0.0,0.0,0.0,0.005178615
0.045,0.0,0.0,0.0,0.01949495
0.045,0.0,0.0,0.0,0.01949495
0.05,0.0,0.0,0.0,0.0351984
0.05,0.0,0.0,0.0,0.0351984
0.055,0.0,0.0,0.0,0.0510353
0.055,0.0,0.0,0.0,0.0510353
0.06,0.0,0.0,0.0,0.0657024
0.06,0.0,0.0,0.0,0.0657024
0.065,0.0,0.0,0.0,0.07794515
0.065,0.0,0.0,0.0,0.07794515
0.07,0.0,0.0,0.0,0.08668225
0.07,0.0,0.0,0.0,0.08668225
0.075,0.0,0.0,0.0,0.0911615
0.075,0.0,0.0,0.0,0.0911615
0.08,0.0,0.0,0.0,0.09114805
0.08,0.0,0.0,0.0,0.09114805
0.085,0.0,0.0,0.0,0.08713655
0.085,0.0,0.0,0.0,0.08713655
0.09,0.0,0.0,0.0,0.08056405
0.09,0.0,0.0,0.0,0.08056405
0.095,0.0,0.0,0.0,0.07397575
0.095,0.0,0.0,0.0,0.07397575
