"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.034048,1,0,0.05,0,0.005
-0.0033365,1.3235e-06,0,0.03405,1,0.0005,0.05,0.0005,0.005
-0.0066729,2.647e-06,0,0.034053,1,0.001,0.05,0.001,0.005
-0.010009,3.9705e-06,0,0.034055,1,0.0015,0.05,0.0015,0.005
-0.013346,5.294e-06,0,0.034058,1,0.002,0.05,0.002,0.005
-0.016682,6.6175e-06,0,0.03406,1,0.0025,0.05,0.0025,0.005
-0.019676,8.7887e-06,0,0.034062,1,0.003,0.05,0.003,0.005
-0.022669,1.096e-05,0,0.034063,1,0.0035,0.05,0.0035,0.005
-0.025662,1.3131e-05,0,0.034065,1,0.004,0.05,0.004,0.005
-0.028656,1.5302e-05,0,0.034066,1,0.0045,0.05,0.0045,0.005
-0.031649,1.7473e-05,0,0.034068,1,0.005,0.05,0.005,0.005
-0.034377,2.0395e-05,0,0.034062,1,0.0055,0.05,0.0055,0.005
-0.037105,2.3317e-05,0,0.034056,1,0.006,0.05,0.006,0.005
-0.039833,2.6238e-05,0,0.03405,1,0.0065,0.05,0.0065,0.005
-0.04256,2.916e-05,0,0.034044,1,0.007,0.05,0.007,0.005
-0.045288,3.2082e-05,0,0.034039,1,0.0075,0.05,0.0075,0.005
-0.047811,3.5551e-05,0,0.034023,1,0.008,0.05,0.008,0.005
-0.050333,3.9021e-05,0,0.034008,1,0.0085,0.05,0.0085,0.005
-0.052856,4.249e-05,0,0.033993,1,0.009,0.05,0.009,0.005
-0.055379,4.596e-05,0,0.033978,1,0.0095,0.05,0.0095,0.005
-0.057901,4.9429e-05,0,0.033963,1,0.01,0.05,0.01,0.005
-0.060267,5.3764e-05,0,0.033935,1,0.0105,0.05,0.0105,0.005
-0.062632,5.8099e-05,0,0.033908,1,0.011,0.05,0.011,0.005
-0.064998,6.2435e-05,0,0.033881,1,0.0115,0.05,0.0115,0.005
-0.067363,6.677e-05,0,0.033853,1,0.012,0.05,0.012,0.005
-0.069729,7.1105e-05,0,0.033826,1,0.0125,0.05,0.0125,0.005
-0.071977,7.7033e-05,0,0.033783,1,0.013,0.05,0.013,0.005
-0.074225,8.2962e-05,0,0.03374,1,0.0135,0.05,0.0135,0.005
-0.076472,8.8891e-05,0,0.033697,1,0.014,0.05,0.014,0.005
-0.07872,9.4819e-05,0,0.033654,1,0.0145,0.05,0.0145,0.005
-0.080968,0.00010075,0,0.03361,1,0.015,0.05,0.015,0.005
-0.08313,0.00010934,0,0.033547,1,0.0155,0.05,0.0155,0.005
-0.085292,0.00011793,0,0.033484,1,0.016,0.05,0.016,0.005
-0.087453,0.00012652,0,0.03342,1,0.0165,0.05,0.0165,0.005
-0.089615,0.00013511,0,0.033357,1,0.017,0.05,0.017,0.005
-0.091777,0.0001437,0,0.033294,1,0.0175,0.05,0.0175,0.005
-0.093877,0.00015635,0,0.033205,1,0.018,0.05,0.018,0.005
-0.095977,0.000169,0,0.033116,1,0.0185,0.05,0.0185,0.005
-0.098077,0.00018165,0,0.033028,1,0.019,0.05,0.019,0.005
-0.10018,0.0001943,0,0.032939,1,0.0195,0.05,0.0195,0.005
-0.10228,0.00020695,0,0.032851,1,0.02,0.05,0.02,0.005
-0.10433,0.00022537,0,0.032731,1,0.0205,0.05,0.0205,0.005
-0.10639,0.00024378,0,0.032611,1,0.021,0.05,0.021,0.005
-0.10845,0.0002622,0,0.032492,1,0.0215,0.05,0.0215,0.005
-0.1105,0.00028062,0,0.032372,1,0.022,0.05,0.022,0.005
-0.11256,0.00029903,0,0.032253,1,0.0225,0.05,0.0225,0.005
-0.11458,0.00032522,0,0.032096,1,0.023,0.05,0.023,0.005
-0.11661,0.0003514,0,0.031939,1,0.0235,0.05,0.0235,0.005
-0.11863,0.00037758,0,0.031782,1,0.024,0.05,0.024,0.005
-0.12065,0.00040376,0,0.031625,1,0.0245,0.05,0.0245,0.005
-0.12268,0.00042994,0,0.031468,1,0.025,0.05,0.025,0.005
-0.12467,0.00046614,0,0.031266,1,0.0255,0.05,0.0255,0.005
-0.12667,0.00050234,0,0.031065,1,0.026,0.05,0.026,0.005
-0.12867,0.00053853,0,0.030863,1,0.0265,0.05,0.0265,0.005
-0.13067,0.00057473,0,0.030662,1,0.027,0.05,0.027,0.005
-0.13266,0.00061093,0,0.03046,1,0.0275,0.05,0.0275,0.005
-0.13463,0.00065961,0,0.030206,1,0.028,0.05,0.028,0.005
-0.1366,0.00070828,0,0.029952,1,0.0285,0.05,0.0285,0.005
-0.13857,0.00075696,0,0.029698,1,0.029,0.05,0.029,0.005
-0.14054,0.00080564,0,0.029444,1,0.0295,0.05,0.0295,0.005
-0.14251,0.00085431,0,0.029189,1,0.03,0.05,0.03,0.005
-0.14444,0.00091807,0,0.028874,1,0.0305,0.05,0.0305,0.005
-0.14638,0.00098183,0,0.028559,1,0.031,0.05,0.031,0.005
-0.14831,0.0010456,0,0.028243,1,0.0315,0.05,0.0315,0.005
-0.15025,0.0011093,0,0.027928,1,0.032,0.05,0.032,0.005
-0.15218,0.0011731,0,0.027612,1,0.0325,0.05,0.0325,0.005
-0.15406,0.0012546,0,0.027226,1,0.033,0.05,0.033,0.005
-0.15595,0.0013361,0,0.02684,1,0.0335,0.05,0.0335,0.005
-0.15783,0.0014176,0,0.026454,1,0.034,0.05,0.034,0.005
-0.15972,0.001499,0,0.026068,1,0.0345,0.05,0.0345,0.005
-0.1616,0.0015805,0,0.025682,1,0.035,0.05,0.035,0.005
-0.16342,0.0016823,0,0.025216,1,0.0355,0.05,0.0355,0.005
-0.16523,0.0017841,0,0.024749,1,0.036,0.05,0.036,0.005
-0.16704,0.0018859,0,0.024283,1,0.0365,0.05,0.0365,0.005
-0.16886,0.0019877,0,0.023817,1,0.037,0.05,0.037,0.005
-0.17067,0.0020895,0,0.02335,1,0.0375,0.05,0.0375,0.005
-0.17238,0.0022139,0,0.022794,1,0.038,0.05,0.038,0.005
-0.1741,0.0023383,0,0.022238,1,0.0385,0.05,0.0385,0.005
-0.17581,0.0024627,0,0.021681,1,0.039,0.05,0.039,0.005
-0.17752,0.0025871,0,0.021125,1,0.0395,0.05,0.0395,0.005
-0.17923,0.0027116,0,0.020569,1,0.04,0.05,0.04,0.005
-0.1808,0.0028605,0,0.019913,1,0.0405,0.05,0.0405,0.005
-0.18237,0.0030094,0,0.019258,1,0.041,0.05,0.041,0.005
-0.18394,0.0031583,0,0.018602,1,0.0415,0.05,0.0415,0.005
-0.18552,0.0033072,0,0.017947,1,0.042,0.05,0.042,0.005
-0.18709,0.0034562,0,0.017291,1,0.0425,0.05,0.0425,0.005
-0.18847,0.0036307,0,0.016528,1,0.043,0.05,0.043,0.005
-0.18985,0.0038053,0,0.015765,1,0.0435,0.05,0.0435,0.005
-0.19123,0.0039799,0,0.015002,1,0.044,0.05,0.044,0.005
-0.19261,0.0041545,0,0.014239,1,0.0445,0.05,0.0445,0.005
-0.19399,0.0043291,0,0.013477,1,0.045,0.05,0.045,0.005
-0.19513,0.0045296,0,0.0126,1,0.0455,0.05,0.0455,0.005
-0.19626,0.00473,0,0.011724,1,0.046,0.05,0.046,0.005
-0.19739,0.0049305,0,0.010847,1,0.0465,0.05,0.0465,0.005
-0.19852,0.0051309,0,0.0099709,1,0.047,0.05,0.047,0.005
-0.19965,0.0053314,0,0.0090945,1,0.0475,0.05,0.0475,0.005
-0.20046,0.0055565,0,0.0081013,1,0.048,0.05,0.048,0.005
-0.20127,0.0057817,0,0.0071081,1,0.0485,0.05,0.0485,0.005
-0.20208,0.0060069,0,0.0061149,1,0.049,0.05,0.049,0.005
-0.20289,0.006232,0,0.0051217,1,0.0495,0.05,0.0495,0.005
-0.2037,0.0064572,0,0.0041285,1,0.05,0.05,0.05,0.005
-0.20411,0.0067042,0,0.0030194,1,0.0505,0.05,0.0505,0.005
-0.20451,0.0069513,0,0.0019103,1,0.051,0.05,0.051,0.005
-0.20492,0.0071984,0,0.00080127,1,0.0515,0.05,0.0515,0.005
-0.20532,0.0074454,0,-0.0003078,1,0.052,0.05,0.052,0.005
-0.20573,0.0076925,0,-0.0014169,1,0.0525,0.05,0.0525,0.005
-0.20563,0.0079566,0,-0.0026354,1,0.053,0.05,0.053,0.005
-0.20553,0.0082208,0,-0.003854,1,0.0535,0.05,0.0535,0.005
-0.20543,0.0084849,0,-0.0050725,1,0.054,0.05,0.054,0.005
-0.20534,0.008749,0,-0.0062911,1,0.0545,0.05,0.0545,0.005
-0.20524,0.0090132,0,-0.0075097,1,0.055,0.05,0.055,0.005
-0.20453,0.0092872,0,-0.0088245,1,0.0555,0.05,0.0555,0.005
-0.20381,0.0095612,0,-0.010139,1,0.056,0.05,0.056,0.005
-0.2031,0.0098352,0,-0.011454,1,0.0565,0.05,0.0565,0.005
-0.20239,0.010109,0,-0.012769,1,0.057,0.05,0.057,0.005
-0.20168,0.010383,0,-0.014084,1,0.0575,0.05,0.0575,0.005
-0.20022,0.010657,0,-0.015474,1,0.058,0.05,0.058,0.005
-0.19877,0.010932,0,-0.016864,1,0.0585,0.05,0.0585,0.005
-0.19732,0.011206,0,-0.018254,1,0.059,0.05,0.059,0.005
-0.19587,0.01148,0,-0.019644,1,0.0595,0.05,0.0595,0.005
-0.19442,0.011754,0,-0.021034,1,0.06,0.05,0.06,0.005
-0.19209,0.012016,0,-0.022469,1,0.0605,0.05,0.0605,0.005
-0.18976,0.012278,0,-0.023903,1,0.061,0.05,0.061,0.005
-0.18742,0.01254,0,-0.025338,1,0.0615,0.05,0.0615,0.005
-0.18509,0.012803,0,-0.026773,1,0.062,0.05,0.062,0.005
-0.18276,0.013065,0,-0.028207,1,0.0625,0.05,0.0625,0.005
-0.1794,0.0133,0,-0.029647,1,0.063,0.05,0.063,0.005
-0.17604,0.013535,0,-0.031087,1,0.0635,0.05,0.0635,0.005
-0.17268,0.01377,0,-0.032526,1,0.064,0.05,0.064,0.005
-0.16932,0.014005,0,-0.033966,1,0.0645,0.05,0.0645,0.005
-0.16595,0.01424,0,-0.035406,1,0.065,0.05,0.065,0.005
-0.1614,0.014432,0,-0.036802,1,0.0655,0.05,0.0655,0.005
-0.15684,0.014623,0,-0.038197,1,0.066,0.05,0.066,0.005
-0.15228,0.014815,0,-0.039593,1,0.0665,0.05,0.0665,0.005
-0.14773,0.015006,0,-0.040989,1,0.067,0.05,0.067,0.005
-0.14317,0.015197,0,-0.042385,1,0.0675,0.05,0.0675,0.005
-0.13725,0.015327,0,-0.04368,1,0.068,0.05,0.068,0.005
-0.13132,0.015458,0,-0.044976,1,0.0685,0.05,0.0685,0.005
-0.1254,0.015588,0,-0.046271,1,0.069,0.05,0.069,0.005
-0.11948,0.015718,0,-0.047567,1,0.0695,0.05,0.0695,0.005
-0.11355,0.015848,0,-0.048862,1,0.07,0.05,0.07,0.005
-0.10608,0.015899,0,-0.049996,1,0.0705,0.05,0.0705,0.005
-0.098614,0.01595,0,-0.051131,1,0.071,0.05,0.071,0.005
-0.091145,0.016001,0,-0.052265,1,0.0715,0.05,0.0715,0.005
-0.083676,0.016053,0,-0.053399,1,0.072,0.05,0.072,0.005
-0.076207,0.016104,0,-0.054533,1,0.0725,0.05,0.0725,0.005
-0.067017,0.016061,0,-0.055446,1,0.073,0.05,0.073,0.005
-0.057826,0.016019,0,-0.056358,1,0.0735,0.05,0.0735,0.005
-0.048635,0.015976,0,-0.05727,1,0.074,0.05,0.074,0.005
-0.039444,0.015934,0,-0.058182,1,0.0745,0.05,0.0745,0.005
-0.030253,0.015891,0,-0.059095,1,0.075,0.05,0.075,0.005
-0.019171,0.015745,0,-0.05973,1,0.0755,0.05,0.0755,0.005
-0.0080882,0.015598,0,-0.060366,1,0.076,0.05,0.076,0.005
0.0029944,0.015451,0,-0.061002,1,0.0765,0.05,0.0765,0.005
0.014077,0.015305,0,-0.061638,1,0.077,0.05,0.077,0.005
0.02516,0.015158,0,-0.062274,1,0.0775,0.05,0.0775,0.005
0.038287,0.014905,0,-0.062593,1,0.078,0.05,0.078,0.005
0.051415,0.014651,0,-0.062912,1,0.0785,0.05,0.0785,0.005
0.064542,0.014397,0,-0.063231,1,0.079,0.05,0.079,0.005
0.077669,0.014144,0,-0.063549,1,0.0795,0.05,0.0795,0.005
0.090797,0.01389,0,-0.063868,1,0.08,0.05,0.08,0.005
0.10609,0.013537,0,-0.063852,1,0.0805,0.05,0.0805,0.005
0.12139,0.013184,0,-0.063835,1,0.081,0.05,0.081,0.005
0.13669,0.012831,0,-0.063819,1,0.0815,0.05,0.0815,0.005
0.15199,0.012478,0,-0.063802,1,0.082,0.05,0.082,0.005
0.16729,0.012125,0,-0.063785,1,0.0825,0.05,0.0825,0.005
0.18484,0.011692,0,-0.063443,1,0.083,0.05,0.083,0.005
0.2024,0.011259,0,-0.063101,1,0.0835,0.05,0.0835,0.005
0.21995,0.010825,0,-0.062759,1,0.084,0.05,0.084,0.005
0.2375,0.010392,0,-0.062417,1,0.0845,0.05,0.0845,0.005
0.25506,0.0099592,0,-0.062075,1,0.085,0.05,0.085,0.005
0.2749,0.0094788,0,-0.061451,1,0.0855,0.05,0.0855,0.005
0.29474,0.0089984,0,-0.060827,1,0.086,0.05,0.086,0.005
0.31458,0.008518,0,-0.060202,1,0.0865,0.05,0.0865,0.005
0.33442,0.0080375,0,-0.059578,1,0.087,0.05,0.087,0.005
0.35426,0.0075571,0,-0.058954,1,0.0875,0.05,0.0875,0.005
0.37635,0.0070736,0,-0.058125,1,0.088,0.05,0.088,0.005
0.39844,0.00659,0,-0.057296,1,0.0885,0.05,0.0885,0.005
0.42053,0.0061065,0,-0.056468,1,0.089,0.05,0.089,0.005
0.44263,0.0056229,0,-0.055639,1,0.0895,0.05,0.0895,0.005
0.46472,0.0051393,0,-0.05481,1,0.09,0.05,0.09,0.005
0.48894,0.0047034,0,-0.053885,1,0.0905,0.05,0.0905,0.005
0.51315,0.0042675,0,-0.05296,1,0.091,0.05,0.091,0.005
0.53737,0.0038315,0,-0.052035,1,0.0915,0.05,0.0915,0.005
0.56159,0.0033956,0,-0.05111,1,0.092,0.05,0.092,0.005
0.58581,0.0029597,0,-0.050185,1,0.0925,0.05,0.0925,0.005
0.61196,0.0026227,0,-0.049266,1,0.093,0.05,0.093,0.005
0.6381,0.0022857,0,-0.048348,1,0.0935,0.05,0.0935,0.005
0.66424,0.0019487,0,-0.04743,1,0.094,0.05,0.094,0.005
0.69038,0.0016117,0,-0.046511,1,0.0945,0.05,0.0945,0.005
0.71652,0.0012747,0,-0.045593,1,0.095,0.05,0.095,0.005
0.74427,0.0010827,0,-0.044745,1,0.0955,0.05,0.0955,0.005
0.77202,0.00089077,0,-0.043898,1,0.096,0.05,0.096,0.005
0.79977,0.00069882,0,-0.04305,1,0.0965,0.05,0.0965,0.005
0.82753,0.00050686,0,-0.042202,1,0.097,0.05,0.097,0.005
0.85528,0.00031491,0,-0.041355,1,0.0975,0.05,0.0975,0.005
0.88422,0.00025193,0,-0.040954,1,0.098,0.05,0.098,0.005
0.91317,0.00018895,0,-0.040553,1,0.0985,0.05,0.0985,0.005
0.94211,0.00012596,0,-0.040153,1,0.099,0.05,0.099,0.005
0.97106,6.2982e-05,0,-0.039752,1,0.0995,0.05,0.0995,0.005
1,0,0,-0.039351,1,0.1,0.05,0.1,0.005
